state,facility_id,activity
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
ID,239004,HORSEBACK RIDING
ID,10071169,HIKING
ID,232087,BOATING
ID,232087,CAMPING
ID,232087,FISHING
ID,232087,WATER SPORTS
ID,232087,WILDLIFE VIEWING
ID,232087,SWIMMING SITE
ID,237194,BOATING
ID,237194,FISHING
ID,237194,SWIMMING
ID,233961,BIKING
ID,233961,CAMPING
ID,233961,FISHING
ID,233961,HIKING
ID,233961,HUNTING
ID,233961,WINTER SPORTS
ID,233961,WILDLIFE VIEWING
ID,239015,HIKING
ID,248582,AUTO TOURING
ID,248582,HIKING
ID,248582,HORSEBACK RIDING
ID,239004,BIKING
ID,239004,HIKING
